GENE,Strain
fosA3_1,SRR35773224
blaCTX-M-3_,SRR35773225
blaNDM-1_1,SRR35773225
aph(3')-VIb_1,SRR35773225
"aph(3"")-Ib_2",SRR35773225
aph(6)-Id_1,SRR35773225
aac(3)-IIa_1,SRR35773225
blaOXA-1_1,SRR35773225
aac(6')-Ib-cr_,SRR35773225
qnrB1_1,SRR35773225
